title,authors,abstract,categories,created
Meili: Enabling SmartNIC as a Service in the Cloud,,"SmartNICs are touted as an attractive substrate for network application
offloading, offering benefits in programmability, host resource saving, and
energy efficiency. The current usage restricts offloading to local hosts and
confines SmartNIC ownership to individual application teams, resulting in poor
resource efficiency and scalability. This paper presents Meili, a novel system
that realizes SmartNIC as a service to address these issues. Meili organizes
heterogeneous SmartNIC resources as a pool and offers a unified one-NIC
abstraction to application developers. This allows developers to focus solely
on the application logic while dynamically optimizing their performance needs.
Our evaluation on NVIDIA BlueField series and AMD Pensando SmartNICs
demonstrates that Meili achieves scalable single-flow throughput with a maximum
8 {\mu}s latency overhead and enhances resource efficiency by 3.07$\times$
compared to standalone deployments and 1.44$\times$ compared to
state-of-the-art microservice deployments.",cs.NI cs.DC,2023-12-19
"Moving a Derivation Along a Derivation Preserves the Spine in Adhesive
  Categories",,"In this paper, we investigate the relationship between two elementary
operations on derivations in adhesive high-level replacement systems that are
well-known in the context of graph transformation: moving a derivation along a
derivation based on parallel and sequential independence on one hand and
restriction of a derivation with respect to a monomorphism into the start
object on the other hand. Intuitively, a restriction clips off parts of the
start object that are never matched by a rule application throughout the
derivation on the other hand. As main result, it is shown that moving a
derivation preserves its spine being the minimal restriction.",cs.DM,2023-12-20
"Ponymation: Learning Articulated 3D Animal Motions from Unlabeled Online
  Videos",,"We introduce a new method for learning a generative model of articulated 3D
animal motions from raw, unlabeled online videos. Unlike existing approaches
for 3D motion synthesis, our model requires no pose annotations or parametric
shape models for training; it learns purely from a collection of unlabeled web
video clips, leveraging semantic correspondences distilled from self-supervised
image features. At the core of our method is a video Photo-Geometric
Auto-Encoding framework that decomposes each training video clip into a set of
explicit geometric and photometric representations, including a rest-pose 3D
shape, an articulated pose sequence, and texture, with the objective of
re-rendering the input video via a differentiable renderer. This decomposition
allows us to learn a generative model over the underlying articulated pose
sequences akin to a Variational Auto-Encoding (VAE) formulation, but without
requiring any external pose annotations. At inference time, we can generate new
motion sequences by sampling from the learned motion VAE, and create plausible
4D animations of an animal automatically within seconds given a single input
image.",cs.CV,2023-12-21
"Neural Point Cloud Diffusion for Disentangled 3D Shape and Appearance
  Generation",,"Controllable generation of 3D assets is important for many practical
applications like content creation in movies, games and engineering, as well as
in AR/VR. Recently, diffusion models have shown remarkable results in
generation quality of 3D objects. However, none of the existing models enable
disentangled generation to control the shape and appearance separately. For the
first time, we present a suitable representation for 3D diffusion models to
enable such disentanglement by introducing a hybrid point cloud and neural
radiance field approach. We model a diffusion process over point positions
jointly with a high-dimensional feature space for a local density and radiance
decoder. While the point positions represent the coarse shape of the object,
the point features allow modeling the geometry and appearance details. This
disentanglement enables us to sample both independently and therefore to
control both separately. Our approach sets a new state of the art in generation
compared to previous disentanglement-capable methods by reduced FID scores of
30-90% and is on-par with other non disentanglement-capable state-of-the art
methods.",cs.CV,2023-12-21
"Attribute-driven Disentangled Representation Learning for Multimodal
  Recommendation",,"Recommendation algorithms forecast user preferences by correlating user and
item representations derived from historical interaction patterns. In pursuit
of enhanced performance, many methods focus on learning robust and independent
representations by disentangling the intricate factors within interaction data
across various modalities in an unsupervised manner. However, such an approach
obfuscates the discernment of how specific factors (e.g., category or brand)
influence the outcomes, making it challenging to regulate their effects. In
response to this challenge, we introduce a novel method called Attribute-Driven
Disentangled Representation Learning (short for AD-DRL), which explicitly
incorporates attributes from different modalities into the disentangled
representation learning process. By assigning a specific attribute to each
factor in multimodal features, AD-DRL can disentangle the factors at both
attribute and attribute-value levels. To obtain robust and independent
representations for each factor associated with a specific attribute, we first
disentangle the representations of features both within and across different
modalities. Moreover, we further enhance the robustness of the representations
by fusing the multimodal features of the same factor. Empirical evaluations
conducted on three public real-world datasets substantiate the effectiveness of
AD-DRL, as well as its interpretability and controllability.",cs.IR cs.MM,2023-12-21
"Quantum-Assisted Joint Caching and Power Allocation for Integrated
  Satellite-Terrestrial Networks",,"Low earth orbit (LEO) satellite network can complement terrestrial networks
for achieving global wireless coverage and improving delay-sensitive Internet
services. This paper proposes an integrated satellite-terrestrial network
(ISTN) architecture to provide ground users with seamless and reliable content
delivery services. For optimal service provisioning in this architecture, we
formulate an optimization model to maximize the network throughput by jointly
optimizing content delivery policy, cache placement, and transmission power
allocation. The resulting optimization model is a large-scale mixed-integer
nonlinear program (MINLP) that is intractable for classical computer solvers.
Inspired by quantum computing techniques, we propose a hybrid quantum-classical
generalized Benders' decomposition (HQCGBD) algorithm to address this
challenge. Specifically, we first exploit the generalized Benders'
decomposition (GBD) to decompose the problem into a master problem and a
subproblem and then leverage the state-of-art quantum annealer to solve the
challenging master problem.",cs.NI eess.SP,2023-12-22
"Variational approximation for a non-isothermal coupled phase-field
  system: Structure-preservation & Nonlinear stability",,"A Cahn-Hilliard-Allen-Cahn phase-field model coupled with a heat transfer
equation, particularly with full non-diagonal mobility matrices, is studied.
After reformulating the problem w.r.t. the inverse of temperature, we proposed
and analysed a structure-preserving approximation for the semi-discretisation
in space and then a fully discrete approximation using conforming finite
elements and time-stepping methods. We prove structure-preserving property and
discrete stability using relative entropy methods for the semi-discrete and
fully discrete case. The theoretical results are illustrated by numerical
experiments.",math.NA cs.NA math.AP,2023-12-22
On the expressive power of inquisitive epistemic logic,,"Inquisitive modal logic, InqML, in its epistemic incarnation, extends
standard epistemic logic to capture not just the information that agents have,
but also the questions that they are interested in. We use the natural notion
of bisimulation equivalence in the setting of InqML, as introduced in
[Ciardelli/Otto: JSL 2021], to characterise the expressiveness of InqML as the
bisimulation invariant fragment of first-order logic over natural classes of
two-sorted first-order structures that arise as relational encodings of
inquisitive epistemic (S5-like) models. The non-elementary nature of these
classes crucially requires non-classical model-theoretic methods for the
analysis of first-order expressiveness, irrespective of whether we aim for
characterisations in the sense of classical or of finite model theory.",math.LO cs.LO,2023-12-22
"Error-Correction Performance of Regular Ring-Linear LDPC Codes over Lee
  Channels",,"Most low-density parity-check (LDPC) code constructions are considered over
finite fields. In this work, we focus on regular LDPC codes over integer
residue rings and analyze their performance with respect to the Lee metric.
Their error-correction performance is studied over two channel models, in the
Lee metric. The first channel model is a discrete memoryless channel, whereas
in the second channel model an error vector is drawn uniformly at random from
all vectors of a fixed Lee weight. It is known that the two channel laws
coincide in the asymptotic regime, meaning that their marginal distributions
match. For both channel models, we derive upper bounds on the block error
probability in terms of a random coding union bound as well as sphere packing
bounds that make use of the marginal distribution of the considered channels.
We estimate the decoding error probability of regular LDPC code ensembles over
the channels using the marginal distribution and determining the expected Lee
weight distribution of a random LDPC code over a finite integer ring. By means
of density evolution and finite-length simulations, we estimate the
error-correction performance of selected LDPC code ensembles under belief
propagation decoding and a low-complexity symbol message passing decoding
algorithm and compare the performances. The analysis developed in this paper
may serve to design regular LDPC codes over integer residue rings for storage
and cryptographic application.",cs.IT math.IT,2023-12-22
Stochastic models of memristive behavior,,"Under normal operations, memristive devices undergo variability in time and
space and have internal dynamics. Interplay of memory and stochastic signal
processing in memristive devices makes them candidates for performing
bio-inspired tasks of information transduction and transformation, where
intrinsic random behavior can be harnessed for high performance of circuits
built up of individual memory storing elements. The paper discusses models of
single memristive devices exhibiting both - dynamic hysteresis and Stochastic
Resonance, addressing also the cooperative effect of correlated noises acting
on the system and occurrence of dirty hysteretic rounding.",cs.ET physics.class-ph,2023-12-23
"Optimal Decision Tree and Adaptive Submodular Ranking with Noisy
  Outcomes",,"In pool-based active learning, the learner is given an unlabeled data set and
aims to efficiently learn the unknown hypothesis by querying the labels of the
data points. This can be formulated as the classical Optimal Decision Tree
(ODT) problem: Given a set of tests, a set of hypotheses, and an outcome for
each pair of test and hypothesis, our objective is to find a low-cost testing
procedure (i.e., decision tree) that identifies the true hypothesis. This
optimization problem has been extensively studied under the assumption that
each test generates a deterministic outcome. However, in numerous applications,
for example, clinical trials, the outcomes may be uncertain, which renders the
ideas from the deterministic setting invalid. In this work, we study a
fundamental variant of the ODT problem in which some test outcomes are noisy,
even in the more general case where the noise is persistent, i.e., repeating a
test gives the same noisy output. Our approximation algorithms provide
guarantees that are nearly best possible and hold for the general case of a
large number of noisy outcomes per test or per hypothesis where the performance
degrades continuously with this number. We numerically evaluated our algorithms
for identifying toxic chemicals and learning linear classifiers, and observed
that our algorithms have costs very close to the information-theoretic minimum.",cs.LG stat.ML,2023-12-23
Can ChatGPT Read Who You Are?,,"The interplay between artificial intelligence (AI) and psychology,
particularly in personality assessment, represents an important emerging area
of research. Accurate personality trait estimation is crucial not only for
enhancing personalization in human-computer interaction but also for a wide
variety of applications ranging from mental health to education. This paper
analyzes the capability of a generic chatbot, ChatGPT, to effectively infer
personality traits from short texts. We report the results of a comprehensive
user study featuring texts written in Czech by a representative population
sample of 155 participants. Their self-assessments based on the Big Five
Inventory (BFI) questionnaire serve as the ground truth. We compare the
personality trait estimations made by ChatGPT against those by human raters and
report ChatGPT's competitive performance in inferring personality traits from
text. We also uncover a 'positivity bias' in ChatGPT's assessments across all
personality dimensions and explore the impact of prompt composition on
accuracy. This work contributes to the understanding of AI capabilities in
psychological assessment, highlighting both the potential and limitations of
using large language models for personality inference. Our research underscores
the importance of responsible AI development, considering ethical implications
such as privacy, consent, autonomy, and bias in AI applications.",cs.CY cs.CL cs.HC,2023-12-26
Citizen science for social physics: Digital tools and participation,,"Social physics is an active and diverse field in which many scientists with
formal training in physics study a broad class of complex social phenomena.
Social physics investigates societal problems but most often does not count on
the active and conscious participation of the citizens. We here want to support
the idea that citizen science, and more particularly citizen social science,
can contribute to the broad field of social physics. We do so by sharing some
of our own experiences during the last decade. We first describe several human
mobility experiments in urban contexts with the participation of concerned
young students, old women or other different groups of neighbours. We second
share how we have studied community mental health care provision in
collaboration with a civil society organisation and with the intense
involvement of persons with lived experience in mental health. In both cases,
we narrow down the discussion to digital tools being used and the involved
participatory dynamics. In this way, we share key learnings to enhance a
synergistic relationship between social physics and citizen science and with
the aim increase the societal impact of the research on complex social
phenomena.",physics.soc-ph cond-mat.stat-mech cs.HC,2023-12-27
On-Demand JSON: A Better Way to Parse Documents?,,"JSON is a popular standard for data interchange on the Internet. Ingesting
JSON documents can be a performance bottleneck. A popular parsing strategy
consists in converting the input text into a tree-based data structure --
sometimes called a Document Object Model or DOM. We designed and implemented a
novel JSON parsing interface -- called On-Demand -- that appears to the
programmer like a conventional DOM-based approach. However, the underlying
implementation is a pointer iterating through the content, only materializing
the results (objects, arrays, strings, numbers) lazily.On recent commodity
processors, an implementation of our approach provides superior performance in
multiple benchmarks. To ensure reproducibility, our work is freely available as
open source software. Several systems use On-Demand: e.g., Apache Doris, the
Node.js JavaScript runtime, Milvus, and Velox.",cs.DB cs.PF,2023-12-28
On Completely Edge-Independent Spanning Trees in Locally Twisted Cubes,,"A network can contain numerous spanning trees. If two spanning trees
$T_i,T_j$ do not share any common edges, $T_i$ and $T_j$ are said to be
pairwisely edge-disjoint. For spanning trees $T_1, T_2, ..., T_m$, if every two
of them are pairwisely edge-disjoint, they are called completely
edge-independent spanning trees (CEISTs for short). CEISTs can facilitate many
network functionalities, and constructing CEISTs as maximally allowed as
possible in a given network is a worthy undertaking. In this paper, we
establish the maximal number of CEISTs in the locally twisted cube network, and
propose an algorithm to construct $\lfloor \frac{n}{2} \rfloor$ CEISTs in
$LTQ_n$, the $n$-dimensional locally twisted cube. The proposed algorithm has
been actually implemented, and we present the outputs. Network broadcasting in
the $LTQ_n$ was simulated using $\lfloor\frac{n}{2}\rfloor$ CEISTs, and the
performance compared with broadcasting using a single tree.",cs.DC cs.DM,2024-01-03
"Narrowing the Knowledge Evaluation Gap: Open-Domain Question Answering
  with Multi-Granularity Answers",,"Factual questions typically can be answered correctly at different levels of
granularity. For example, both ``August 4, 1961'' and ``1961'' are correct
answers to the question ``When was Barack Obama born?''. Standard question
answering (QA) evaluation protocols, however, do not explicitly take this into
account and compare a predicted answer against answers of a single granularity
level. In this work, we propose GRANOLA QA, a novel evaluation setting where a
predicted answer is evaluated in terms of accuracy and informativeness against
a set of multi-granularity answers. We present a simple methodology for
enriching existing datasets with multi-granularity answers, and create
GRANOLA-EQ, a multi-granularity version of the EntityQuestions dataset. We
evaluate a range of decoding methods on GRANOLA-EQ, including a new algorithm,
called Decoding with Response Aggregation (DRAG), that is geared towards
aligning the response granularity with the model's uncertainty. Our experiments
show that large language models with standard decoding tend to generate
specific answers, which are often incorrect. In contrast, when evaluated on
multi-granularity answers, DRAG yields a nearly 20 point increase in accuracy
on average, which further increases for rare entities. Overall, this reveals
that standard evaluation and decoding schemes may significantly underestimate
the knowledge encapsulated in LMs.",cs.CL,2024-01-09
"HiMTM: Hierarchical Multi-Scale Masked Time Series Modeling with
  Self-Distillation for Long-Term Forecasting",,"Time series forecasting is a critical and challenging task in practical
application. Recent advancements in pre-trained foundation models for time
series forecasting have gained significant interest. However, current methods
often overlook the multi-scale nature of time series, which is essential for
accurate forecasting. To address this, we propose HiMTM, a hierarchical
multi-scale masked time series modeling with self-distillation for long-term
forecasting. HiMTM integrates four key components: (1) hierarchical multi-scale
transformer (HMT) to capture temporal information at different scales; (2)
decoupled encoder-decoder (DED) that directs the encoder towards feature
extraction while the decoder focuses on pretext tasks; (3) hierarchical
self-distillation (HSD) for multi-stage feature-level supervision signals
during pre-training; and (4) cross-scale attention fine-tuning (CSA-FT) to
capture dependencies between different scales for downstream tasks. These
components collectively enhance multi-scale feature extraction in masked time
series modeling, improving forecasting accuracy. Extensive experiments on seven
mainstream datasets show that HiMTM surpasses state-of-the-art self-supervised
and end-to-end learning methods by a considerable margin of 3.16-68.54\%.
Additionally, HiMTM outperforms the latest robust self-supervised learning
method, PatchTST, in cross-domain forecasting by a significant margin of 2.3\%.
The effectiveness of HiMTM is further demonstrated through its application in
natural gas demand forecasting.",cs.LG,2024-01-10
"BOK-VQA: Bilingual outside Knowledge-Based Visual Question Answering via
  Graph Representation Pretraining",,"The current research direction in generative models, such as the recently
developed GPT4, aims to find relevant knowledge information for multimodal and
multilingual inputs to provide answers. Under these research circumstances, the
demand for multilingual evaluation of visual question answering (VQA) tasks, a
representative task of multimodal systems, has increased. Accordingly, we
propose a bilingual outside-knowledge VQA (BOK-VQA) dataset in this study that
can be extended to multilingualism. The proposed data include 17K images, 17K
question-answer pairs for both Korean and English and 280K instances of
knowledge information related to question-answer content. We also present a
framework that can effectively inject knowledge information into a VQA system
by pretraining the knowledge information of BOK-VQA data in the form of graph
embeddings. Finally, through in-depth analysis, we demonstrated the actual
effect of the knowledge information contained in the constructed training data
on VQA.",cs.CL,2024-01-12
Modeling Latent Selection with Structural Causal Models,,"Selection bias is ubiquitous in real-world data, and can lead to misleading
results if not dealt with properly. We introduce a conditioning operation on
Structural Causal Models (SCMs) to model latent selection from a causal
perspective. We show that the conditioning operation transforms an SCM with the
presence of an explicit latent selection mechanism into an SCM without such
selection mechanism, which partially encodes the causal semantics of the
selected subpopulation according to the original SCM. Furthermore, we show that
this conditioning operation preserves the simplicity, acyclicity, and linearity
of SCMs, and commutes with marginalization. Thanks to these properties,
combined with marginalization and intervention, the conditioning operation
offers a valuable tool for conducting causal reasoning tasks within causal
models where latent details have been abstracted away. We demonstrate by
example how classical results of causal inference can be generalized to include
selection bias and how the conditioning operation helps with modeling of
real-world problems.",cs.AI cs.LG math.ST stat.ME stat.ML stat.TH,2024-01-12
"Harnessing Deep Learning and Satellite Imagery for Post-Buyout Land
  Cover Mapping",,"Environmental disasters such as floods, hurricanes, and wildfires have
increasingly threatened communities worldwide, prompting various mitigation
strategies. Among these, property buyouts have emerged as a prominent approach
to reducing vulnerability to future disasters. This strategy involves
governments purchasing at-risk properties from willing sellers and converting
the land into open space, ostensibly reducing future disaster risk and impact.
However, the aftermath of these buyouts, particularly concerning land-use
patterns and community impacts, remains under-explored. This research aims to
fill this gap by employing innovative techniques like satellite imagery
analysis and deep learning to study these patterns. To achieve this goal, we
employed FEMA's Hazard Mitigation Grant Program (HMGP) buyout dataset,
encompassing over 41,004 addresses of these buyout properties from 1989 to
2017. Leveraging Google's Maps Static API, we gathered 40,053 satellite images
corresponding to these buyout lands. Subsequently, we implemented five
cutting-edge machine learning models to evaluate their performance in
classifying land cover types. Notably, this task involved multi-class
classification, and our model achieved an outstanding ROC-AUC score of 98.86%",cs.CV cs.CY,2024-01-15
"On Inter-dataset Code Duplication and Data Leakage in Large Language
  Models",,"Motivation. Large language models (LLMs) have exhibited remarkable
proficiency in diverse software engineering (SE) tasks. Handling such tasks
typically involves acquiring foundational coding knowledge on large,
general-purpose datasets during a pre-training phase, and subsequently refining
on smaller, task-specific datasets as part of a fine-tuning phase.
  Problem statement. While intra-dataset code duplication examines the
intersection between the training and test splits within a given dataset and
has been addressed in prior research, inter-dataset code duplication, which
gauges the overlap between different datasets, remains largely unexplored. If
this phenomenon exists, it could compromise the integrity of LLM evaluations
because of the inclusion of fine-tuning test samples that were already
encountered during pre-training, resulting in inflated performance metrics.
  Contribution. This paper explores the phenomenon of inter-dataset code
duplication and its impact on evaluating LLMs across diverse SE tasks.
  Study design. We conduct an empirical study using the CodeSearchNet dataset
(CSN), a widely adopted pre-training dataset, and five fine-tuning datasets
used for various se tasks. We first identify the intersection between the
pre-training and fine-tuning datasets using a deduplication process. Next, we
pre-train two versions of LLMs using a subset of CSN: one leaky LLM and one
non-leaky LLM. Finally, we fine-tune both models and compare their performances
using leaky fine-tuning test samples.
  Results. Our findings reveal a potential threat to the evaluation of LLMs
across multiple SE tasks, stemming from the inter-dataset code duplication
phenomenon. We also demonstrate that this threat is accentuated by the chosen
fine-tuning technique. Furthermore, we provide evidence that open-source models
could be affected by inter-dataset duplication.",cs.SE,2024-01-15
Fairness Concerns in App Reviews: A Study on AI-based Mobile Apps,,"Fairness is one of the socio-technical concerns that must be addressed in
software systems. Considering the popularity of mobile software applications
(apps) among a wide range of individuals worldwide, mobile apps with unfair
behaviors and outcomes can affect a significant proportion of the global
population, potentially more than any other type of software system. Users
express a wide range of socio-technical concerns in mobile app reviews. This
research aims to investigate fairness concerns raised in mobile app reviews.
Our research focuses on AI-based mobile app reviews as the chance of unfair
behaviors and outcomes in AI-based mobile apps may be higher than in
non-AI-based apps. To this end, we first manually constructed a ground-truth
dataset, including 1,132 fairness and 1,473 non-fairness reviews. Leveraging
the ground-truth dataset, we developed and evaluated a set of machine learning
and deep learning models that distinguish fairness reviews from non-fairness
reviews. Our experiments show that our best-performing model can detect
fairness reviews with a precision of 94%. We then applied the best-performing
model on approximately 9.5M reviews collected from 108 AI-based apps and
identified around 92K fairness reviews. Next, applying the K-means clustering
technique to the 92K fairness reviews, followed by manual analysis, led to the
identification of six distinct types of fairness concerns (e.g., 'receiving
different quality of features and services in different platforms and devices'
and 'lack of transparency and fairness in dealing with user-generated
content'). Finally, the manual analysis of 2,248 app owners' responses to the
fairness reviews identified six root causes (e.g., 'copyright issues') that app
owners report to justify fairness concerns.",cs.SE cs.AI cs.CY,2024-01-15
"FMB: a Functional Manipulation Benchmark for Generalizable Robotic
  Learning",,"In this paper, we propose a real-world benchmark for studying robotic
learning in the context of functional manipulation: a robot needs to accomplish
complex long-horizon behaviors by composing individual manipulation skills in
functionally relevant ways. The core design principles of our Functional
Manipulation Benchmark (FMB) emphasize a harmonious balance between complexity
and accessibility. Tasks are deliberately scoped to be narrow, ensuring that
models and datasets of manageable scale can be utilized effectively to track
progress. Simultaneously, they are diverse enough to pose a significant
generalization challenge. Furthermore, the benchmark is designed to be easily
replicable, encompassing all essential hardware and software components. To
achieve this goal, FMB consists of a variety of 3D-printed objects designed for
easy and accurate replication by other researchers. The objects are
procedurally generated, providing a principled framework to study
generalization in a controlled fashion. We focus on fundamental manipulation
skills, including grasping, repositioning, and a range of assembly behaviors.
The FMB can be used to evaluate methods for acquiring individual skills, as
well as methods for combining and ordering such skills to solve complex,
multi-stage manipulation tasks. We also offer an imitation learning framework
that includes a suite of policies trained to solve the proposed tasks. This
enables researchers to utilize our tasks as a versatile toolkit for examining
various parts of the pipeline. For example, researchers could propose a better
design for a grasping controller and evaluate it in combination with our
baseline reorientation and assembly policies as part of a pipeline for solving
multi-stage tasks. Our dataset, object CAD files, code, and evaluation videos
can be found on our project website:
https://functional-manipulation-benchmark.github.io",cs.RO,2024-01-16
Blackout Mitigation via Physics-guided RL,,"This paper considers the sequential design of remedial control actions in
response to system anomalies for the ultimate objective of preventing
blackouts. A physics-guided reinforcement learning (RL) framework is designed
to identify effective sequences of real-time remedial look-ahead decisions
accounting for the long-term impact on the system's stability. The paper
considers a space of control actions that involve both discrete-valued
transmission line-switching decisions (line reconnections and removals) and
continuous-valued generator adjustments. To identify an effective blackout
mitigation policy, a physics-guided approach is designed that uses power-flow
sensitivity factors associated with the power transmission network to guide the
RL exploration during agent training. Comprehensive empirical evaluations using
the open-source Grid2Op platform demonstrate the notable advantages of
incorporating physical signals into RL decisions, establishing the gains of the
proposed physics-guided approach compared to its black box counterparts. One
important observation is that strategically~\emph{removing} transmission lines,
in conjunction with multiple real-time generator adjustments, often renders
effective long-term decisions that are likely to prevent or delay blackouts.",eess.SY cs.AI cs.SY,2024-01-17
The Manga Whisperer: Automatically Generating Transcriptions for Comics,,"In the past few decades, Japanese comics, commonly referred to as Manga, have
transcended both cultural and linguistic boundaries to become a true worldwide
sensation. Yet, the inherent reliance on visual cues and illustration within
manga renders it largely inaccessible to individuals with visual impairments.
In this work, we seek to address this substantial barrier, with the aim of
ensuring that manga can be appreciated and actively engaged by everyone.
Specifically, we tackle the problem of diarisation i.e. generating a
transcription of who said what and when, in a fully automatic way.
  To this end, we make the following contributions: (1) we present a unified
model, Magi, that is able to (a) detect panels, text boxes and character boxes,
(b) cluster characters by identity (without knowing the number of clusters
apriori), and (c) associate dialogues to their speakers; (2) we propose a novel
approach that is able to sort the detected text boxes in their reading order
and generate a dialogue transcript; (3) we annotate an evaluation benchmark for
this task using publicly available [English] manga pages. The code, evaluation
datasets and the pre-trained model can be found at:
https://github.com/ragavsachdeva/magi.",cs.CV,2024-01-18
"Learning Backdoors for Mixed Integer Linear Programs with Contrastive
  Learning",,"Many real-world problems can be efficiently modeled as Mixed Integer Linear
Programs (MILPs) and solved with the Branch-and-Bound method. Prior work has
shown the existence of MILP backdoors, small sets of variables such that
prioritizing branching on them when possible leads to faster running times.
However, finding high-quality backdoors that improve running times remains an
open question. Previous work learns to estimate the relative solver speed of
randomly sampled backdoors through ranking and then decide whether to use the
highest-ranked backdoor candidate. In this paper, we utilize the Monte-Carlo
tree search method to collect backdoors for training, rather than relying on
random sampling, and adapt a contrastive learning framework to train a Graph
Attention Network model to predict backdoors. Our method, evaluated on several
common MILP problem domains, demonstrates performance improvements over both
Gurobi and previous models.",cs.AI cs.LG math.OC,2024-01-18
Parametric Matrix Models,,"We present a general class of machine learning algorithms called parametric
matrix models. In contrast with most existing machine learning models that
imitate the biology of neurons, parametric matrix models use matrix equations
that emulate the physics of quantum systems. Similar to how physics problems
are usually solved, parametric matrix models learn the governing equations that
lead to the desired outputs. Parametric matrix models can be efficiently
trained from empirical data, and the equations may use algebraic, differential,
or integral relations. While originally designed for scientific computing, we
prove that parametric matrix models are universal function approximators that
can be applied to general machine learning problems. After introducing the
underlying theory, we apply parametric matrix models to a series of different
challenges that show their performance for a wide range of problems. For all
the challenges tested here, parametric matrix models produce accurate results
within an efficient and interpretable computational framework that allows for
input feature extrapolation.",cs.LG cond-mat.dis-nn nucl-th physics.comp-ph quant-ph,2024-01-22
"Distilling Mathematical Reasoning Capabilities into Small Language
  Models",,"This work addresses the challenge of democratizing advanced Large Language
Models (LLMs) by compressing their mathematical reasoning capabilities into
sub-billion parameter Small Language Models (SLMs) without compromising
performance. We introduce Equation-of-Thought Distillation (EoTD), a novel
technique that encapsulates the reasoning process into equation-based
representations to construct an EoTD dataset for fine-tuning SLMs.
Additionally, we propose the Ensemble Thoughts Distillation (ETD) framework to
enhance the reasoning performance of SLMs. This involves creating a reasoning
dataset with multiple thought processes, including Chain-of-Thought (CoT),
Program-of-Thought (PoT), and Equation-of-Thought (EoT), and using it for
fine-tuning. Our experimental performance demonstrates that EoTD significantly
boosts the reasoning abilities of SLMs, while ETD enables these models to
achieve state-of-the-art reasoning performance.",cs.CL cs.AI,2024-01-22
Disentangled Condensation for Large-scale Graphs,,"Graph condensation has emerged as an intriguing technique to save the
expensive training costs of Graph Neural Networks (GNNs) by substituting a
condensed small graph with the original graph. Despite the promising results
achieved, previous methods usually employ an entangled paradigm of redundant
parameters (nodes, edges, GNNs), which incurs complex joint optimization during
condensation. This paradigm has considerably impeded the scalability of graph
condensation, making it challenging to condense extremely large-scale graphs
and generate high-fidelity condensed graphs. Therefore, we propose to
disentangle the condensation process into a two-stage GNN-free paradigm,
independently condensing nodes and generating edges while eliminating the need
to optimize GNNs at the same time. The node condensation module avoids the
complexity of GNNs by focusing on node feature alignment with anchors of the
original graph, while the edge translation module constructs the edges of the
condensed nodes by transferring the original structure knowledge with
neighborhood anchors. This simple yet effective approach achieves at least 10
times faster than state-of-the-art methods with comparable accuracy on
medium-scale graphs. Moreover, the proposed DisCo can successfully scale up to
the Ogbn-papers100M graph with flexible reduction rates. Extensive downstream
tasks and ablation study on five common datasets further demonstrate the
effectiveness of the proposed DisCo framework. The source code will be made
publicly available.",cs.SI cs.LG,2024-01-18
Vivim: a Video Vision Mamba for Medical Video Segmentation,,"Medical video segmentation gains increasing attention in clinical practice
due to the redundant dynamic references in video frames. However, traditional
convolutional neural networks have a limited receptive field and
transformer-based networks are mediocre in constructing long-term dependency
from the perspective of computational complexity. This bottleneck poses a
significant challenge when processing longer sequences in medical video
analysis tasks using available devices with limited memory. Recently, state
space models (SSMs), famous by Mamba, have exhibited impressive achievements in
efficient long sequence modeling, which develops deep neural networks by
expanding the receptive field on many vision tasks significantly.
Unfortunately, vanilla SSMs failed to simultaneously capture causal temporal
cues and preserve non-casual spatial information. To this end, this paper
presents a Video Vision Mamba-based framework, dubbed as Vivim, for medical
video segmentation tasks. Our Vivim can effectively compress the long-term
spatiotemporal representation into sequences at varying scales with our
designed Temporal Mamba Block. We also introduce an improved boundary-aware
affine constraint across frames to enhance the discriminative ability of Vivim
on ambiguous lesions. Extensive experiments on thyroid segmentation, breast
lesion segmentation in ultrasound videos, and polyp segmentation in colonoscopy
videos demonstrate the effectiveness and efficiency of our Vivim, superior to
existing methods. The code is available at:
https://github.com/scott-yjyang/Vivim. The dataset will be released once
accepted.",cs.CV,2024-01-25
MoE-Infinity: Offloading-Efficient MoE Model Serving,,"This paper presents MoE-Infinity, an offloading-efficient serving system for
sparse mixture-of-experts (MoE) models. To optimize offloading, MoE-Infinity
achieves novel request-level tracing for expert activation, capturing MoE's
sparse execution patterns such as selective activation, group activation, and
skewed reuse. Leveraging the request-level trace, MoE-Infinity performs
effective expert prefetching and expert caching, achieving high efficiency in
transferring model parameters from host memory to GPU memory. Experimental
results demonstrate that MoE-Infinity achieves low latency comparable to
expensive full-GPU deployments, which require up to 4X more GPU resources than
MoE-Infinity. Compared to offloading-supporting LLM serving systems such as
DeepSpeed-Inference, Llama.cpp, Mixtral Offloading, and BrainStorm,
MoE-Infinity exhibits superior latency performance, providing 2-20X
improvements when serving various MoE models for a large collection of LLM
tasks. MoE-Infinity's source code is publicly available a
https://github.com/TorchMoE/MoE-Infinity",cs.LG cs.PF,2024-01-25
